TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS,CONFERENCE
1610612749,MIL,Milwaukee Bucks,24,17,7,0.708,123.3,88.8,0.5,37,0.381,26.5,0.769,9.4,34.4,43.8,25.5,13.7,7.2,5.7,20,21,3.9,East
1610612737,ATL,Atlanta Hawks,24,10,14,0.417,122.6,94.3,0.469,37.9,0.374,23.9,0.834,13.5,31.3,44.8,25.8,13.8,8.6,4.5,18.8,19.8,0.1,East
1610612754,IND,Indiana Pacers,23,13,10,0.565,128.2,95.3,0.505,38.4,0.379,22.1,0.788,10,30.4,40.4,30.5,13.1,7.8,6.3,22.7,19.2,2.2,East
1610612753,ORL,Orlando Magic,24,16,8,0.667,113.9,86.5,0.479,29.5,0.346,27.3,0.767,11,32.6,43.6,25.3,15.4,8.4,5.5,21.8,23.3,4.2,East
1610612738,BOS,Boston Celtics,24,19,5,0.792,117.8,88.6,0.478,42.6,0.369,21.6,0.802,10.5,35.7,46.1,25,13.8,7,6.1,17.7,18.6,8.8,East
1610612765,DET,Detroit Pistons,25,2,23,0.08,108.1,88,0.462,29.7,0.334,21.3,0.793,11.3,32.6,43.9,25.7,16.9,6.1,5.4,22.8,18,-11.3,East
1610612741,CHI,Chicago Bulls,26,10,16,0.385,109.7,90.6,0.447,33.3,0.364,21.2,0.779,12.1,30.7,42.8,23.6,11.8,8.1,4.6,20.1,19.4,-3.8,East
1610612766,CHA,Charlotte Hornets,23,7,16,0.304,112.7,89.3,0.475,31.2,0.371,20.5,0.792,11,31,42,25.7,14,7,4.8,20.3,18.8,-7.7,East
1610612764,WAS,Washington Wizards,24,4,20,0.167,116.8,90.5,0.486,34,0.355,21.5,0.777,8.3,30.9,39.1,28,14.3,7.7,5,19.8,19,-10,East
1610612751,BKN,Brooklyn Nets,24,13,11,0.542,116.3,91.5,0.47,37.6,0.385,20.2,0.777,12.5,35.3,47.7,25.9,13.2,6.2,5.5,18.5,18.3,2,East
1610612748,MIA,Miami Heat,25,14,11,0.56,112.8,85.5,0.471,33,0.392,23.2,0.836,9.4,31.7,41.1,26.4,13.3,7.6,3.2,18.7,20.2,1,East
1610612739,CLE,Cleveland Cavaliers,25,13,12,0.52,110.5,87.2,0.474,33.1,0.345,21,0.779,10.6,33.6,44.2,24.9,14.6,8,4.7,19.2,19,-0.4,East
1610612752,NYK,New York Knicks,24,14,10,0.583,114.2,89.3,0.462,35.3,0.384,24.5,0.744,13.3,32.3,45.5,24.1,13.1,7.8,3.1,17.9,21,3.7,East
1610612761,TOR,Toronto Raptors,25,10,15,0.4,112.5,90.3,0.47,33.4,0.341,22.3,0.726,12.4,32.7,45,29,14.2,7.7,4.7,18.7,18.7,-2.3,East
1610612755,PHI,Philadelphia 76ers,24,17,7,0.708,122.4,89.6,0.479,32.6,0.377,28.5,0.851,12.2,33.7,45.9,26,13.2,9,6.1,20.6,20.5,10.2,East
