CONFERENCE,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS
East,1610612749,Milwaukee Bucks,1631260,AJ Green,MIL,24,21,7.2,3,2.4,0.44,2.1,0.432,0,1,0.1,0.6,0.8,0.6,0,0,0,0.8,0.1,1.7
East,1610612749,Milwaukee Bucks,1641748,Andre Jackson Jr.,MIL,22,27,9.7,2.4,1.7,0.532,1,0.423,0.1,0.75,0.8,0.9,1.6,0.9,0.5,0.3,0,1.7,0.1,-1.5
East,1610612749,Milwaukee Bucks,1626171,Bobby Portis,MIL,28,33,24.1,12.6,10.2,0.507,2.9,0.354,1.6,0.808,1.7,5.1,6.8,1.2,0.9,0.8,0.5,2.5,1.3,2.3
East,1610612749,Milwaukee Bucks,201572,Brook Lopez,MIL,35,33,31.1,12.8,9.9,0.479,5,0.325,2,0.821,1.5,3.5,5.1,1.4,0.8,0.7,3.1,2.8,1.7,3.9
East,1610612749,Milwaukee Bucks,1626166,Cameron Payne,MIL,29,33,15.8,6.2,4.8,0.459,2.8,0.394,0.8,0.92,0.1,1.1,1.2,2.4,0.8,0.4,0.1,1.8,0.6,0.2
East,1610612749,Milwaukee Bucks,1641753,Chris Livingston,MIL,20,7,3.3,1.3,0.7,0.8,0.1,1,0,0,0.1,0.7,0.9,0.3,0.1,0.1,0,0.3,0,1.3
East,1610612749,Milwaukee Bucks,203081,Damian Lillard,MIL,33,31,35.2,25.5,17.1,0.431,8.7,0.365,8.1,0.924,0.6,3.9,4.5,6.8,2.7,1,0.2,1.7,5.2,5.4
East,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,MIL,29,32,34.9,30.9,18.9,0.606,1.7,0.204,11.3,0.676,2.7,8.6,11.3,5.7,3.8,1.3,1.2,2.9,8.8,5.9
East,1610612749,Milwaukee Bucks,203109,Jae Crowder,MIL,33,9,26.7,8.1,5.2,0.532,3.4,0.516,1.3,0.583,0.4,3.4,3.9,1.7,0.4,0.8,0.3,1.6,1,-6.1
East,1610612749,Milwaukee Bucks,203114,Khris Middleton,MIL,32,28,25,14.5,11.5,0.492,4.3,0.372,1.9,0.833,0.7,3.8,4.5,4.8,2.1,0.8,0.1,2.3,2,5.8
East,1610612749,Milwaukee Bucks,1629623,Lindell Wigginton,MIL,25,3,2.5,2,1.7,0.4,0.7,0,0.7,1,0,0,0,0,0.3,0,0,0.3,0.3,-3.3
