TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,W_PCT,PTS,FGA,FG_PCT,FG3A,FG3_PCT,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PFD,PLUS_MINUS,CONFERENCE
1610612742,DAL,Dallas Mavericks,82,50,32,0.61,117.9,89.7,0.481,39.5,0.369,22.5,0.758,9.7,33.2,42.9,25.7,12.5,6.9,5,18.3,20.3,2.2,West
1610612743,DEN,Denver Nuggets,82,57,25,0.695,114.9,88.8,0.496,31.2,0.374,19.9,0.762,10.7,33.7,44.4,29.5,12.6,7.1,5.6,18.2,17.9,5.3,West
1610612745,HOU,Houston Rockets,82,41,41,0.5,114.3,91,0.459,36.1,0.352,23.4,0.773,11.5,34,45.5,24.8,12.7,7.8,4.6,20.8,19.6,1.1,West
1610612760,OKC,Oklahoma City Thunder,82,57,25,0.695,120.1,89.3,0.499,34.2,0.389,21.5,0.825,8.8,33.2,42,27.1,12.7,8.5,6.6,18.8,18.9,7.4,West
1610612758,SAC,Sacramento Kings,82,46,36,0.561,116.6,90.9,0.477,39.3,0.366,20.9,0.745,10.8,33.2,44,28.3,13.1,7.6,4.2,19.9,18.3,1.7,West
1610612746,LAC,LA Clippers,82,51,31,0.622,115.6,86.7,0.489,33.2,0.381,22.2,0.825,10,32.9,43,25.6,13.1,7.8,5,18.5,18.7,3.3,West
1610612744,GSW,Golden State Warriors,82,46,36,0.561,117.8,91.6,0.477,38.9,0.38,20,0.78,12.1,34.6,46.7,29.3,14.3,7,4.6,19.5,17.9,2.6,West
1610612757,POR,Portland Trail Blazers,82,21,61,0.256,106.4,89.7,0.439,33.2,0.345,20.5,0.791,12.6,30.1,42.7,23.1,15.2,7.6,4.3,20.2,17.9,-9,West
1610612747,LAL,Los Angeles Lakers,82,47,35,0.573,118,87.5,0.499,31.4,0.377,24.2,0.782,8.2,34.9,43.1,28.5,14,7.4,5.5,15.6,19.7,0.6,West
1610612750,MIN,Minnesota Timberwolves,82,56,26,0.683,113,85,0.485,32.7,0.387,22.9,0.777,9.4,34.2,43.6,26.6,14.2,7.9,6.1,18.8,19.9,6.5,West
1610612759,SAS,San Antonio Spurs,82,22,60,0.268,112.1,90.7,0.462,36.4,0.347,20,0.782,10.4,33.9,44.2,29.9,15.1,7.1,6.3,17.2,17.9,-6.5,West
1610612756,PHX,Phoenix Suns,82,49,33,0.598,116.2,86.1,0.493,32.6,0.382,23.4,0.808,10.1,33.9,44.1,27,14.9,7.4,6,18,19.7,3.1,West
1610612763,MEM,Memphis Grizzlies,82,27,55,0.329,105.8,88.2,0.435,37.8,0.346,21,0.764,10.9,31.7,42.6,24.7,15.1,8.2,6.1,19.1,18.8,-7,West
1610612740,NOP,New Orleans Pelicans,82,49,33,0.598,115.1,87.4,0.486,32.6,0.383,22.8,0.771,10.4,33.6,44,27,13,8.3,4.6,18.4,18.4,4.4,West
1610612762,UTA,Utah Jazz,82,31,51,0.378,115.7,89.9,0.467,36.5,0.354,22.6,0.83,12.2,33.2,45.5,27.2,15.7,6.5,5.6,18.6,19.2,-4.9,West
