,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
0,1631260,AJ Green,AJ,1610612749,MIL,24.0,11,8,3,0.727,7.4,1.0,2.7,0.367,0.7,2.4,0.308,0.1,0.1,1.0,0.1,0.6,0.7,0.7,0.0,0.0,0.0,0.0,0.7,0.2,2.8,0.5,4.8,0,0,5.0,275,131,346,72,385,358,356,393,244,226,269,403,414,1,417,405,423,341,425,410,370,383,378,417,366,223,395,128,9,388
1,1631100,AJ Griffin,AJ,1610612737,ATL,20.0,11,7,4,0.636,9.2,0.9,3.0,0.303,0.7,2.2,0.333,0.2,0.2,1.0,0.2,0.7,0.9,0.3,0.4,0.1,0.0,0.2,0.5,0.1,2.7,-2.7,4.1,0,0,4.8,275,177,291,150,361,385,340,433,244,237,228,386,402,1,396,397,413,421,367,405,370,307,415,428,368,365,411,128,9,392
2,203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,16,10,6,0.625,33.9,5.5,11.3,0.486,0.5,2.3,0.222,1.6,3.1,0.52,2.6,4.6,7.2,3.8,1.8,1.1,0.9,0.7,1.9,2.8,13.1,5.3,31.7,4,0,28.6,126,62,175,153,43,89,95,167,279,232,352,133,87,358,30,72,47,82,84,59,53,94,172,84,113,35,73,34,9,87
3,1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,13,8,5,0.615,17.2,2.2,4.8,0.46,1.0,2.5,0.406,0.4,0.5,0.833,0.2,1.6,1.8,1.8,0.5,0.6,0.1,0.4,1.8,0.8,5.8,3.8,12.2,0,0,11.8,231,131,237,167,262,266,259,225,184,219,104,336,358,140,400,300,335,196,344,212,355,196,189,283,271,62,284,128,9,283
4,1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,14,8,6,0.571,23.4,3.8,7.4,0.515,1.8,4.0,0.446,1.1,1.8,0.64,0.9,2.3,3.1,1.0,0.6,0.9,0.6,0.4,3.1,1.5,10.5,-1.8,19.7,0,0,19.4,211,131,175,203,192,161,184,104,93,126,55,198,174,318,186,229,223,282,313,106,113,180,27,179,161,331,189,128,9,185
5,1630598,Aaron Wiggins,Aaron,1610612760,OKC,24.0,15,10,5,0.667,11.8,1.8,3.1,0.574,0.5,1.3,0.421,0.7,1.0,0.733,0.5,1.6,2.1,0.7,0.6,0.4,0.1,0.3,0.9,0.9,4.9,1.7,9.2,0,0,9.1,174,62,237,106,325,299,331,57,277,316,84,261,256,262,299,301,298,340,303,299,362,216,357,280,298,153,329,128,9,324
6,1629678,Admiral Schofield,Admiral,1610612753,ORL,26.0,3,3,0,1.0,3.2,0.7,1.7,0.4,0.3,1.3,0.25,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.3,1.7,-2.3,1.3,0,0,2.0,419,313,467,1,451,403,412,344,315,309,327,409,306,409,425,457,463,438,368,410,370,383,426,378,416,352,468,128,9,447
7,201143,Al Horford,Al,1610612738,BOS,37.0,16,13,3,0.813,25.8,2.7,5.9,0.457,1.3,3.8,0.35,0.2,0.2,1.0,1.6,5.1,6.6,2.8,0.9,0.5,1.0,0.2,1.8,0.4,6.9,4.0,22.5,0,0,20.6,126,4,346,29,159,232,224,233,142,142,205,385,401,1,72,56,57,124,223,248,35,304,207,364,235,56,158,128,9,171
8,202692,Alec Burks,Alec,1610612765,DET,32.0,11,2,9,0.182,21.5,3.3,9.1,0.36,2.3,5.9,0.385,3.3,3.8,0.857,0.5,2.2,2.7,2.2,0.5,0.5,0.4,0.4,1.8,3.1,12.1,-3.6,20.6,0,0,20.9,275,359,81,409,213,189,138,398,51,55,127,58,66,110,272,239,255,164,347,283,177,205,198,64,131,395,181,128,9,167
9,1630197,Aleksej Pokusevski,Aleksej,1610612760,OKC,21.0,5,4,1,0.8,6.3,0.4,1.6,0.25,0.2,1.2,0.167,0.2,0.4,0.5,0.4,1.0,1.4,1.0,0.6,0.0,0.2,0.0,0.8,0.2,1.2,-1.6,4.4,0,0,4.2,383,276,423,32,401,439,414,443,345,319,366,377,365,359,312,354,364,282,303,410,273,383,364,408,436,323,404,128,9,406
