,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,1610612737,Atlanta Hawks,23,9,14,0.391,48.2,43.9,94.0,0.467,14.1,37.8,0.373,20.6,24.7,0.834,13.4,31.0,44.4,25.4,13.7,8.8,4.5,6.0,18.8,19.9,122.5,-0.8,12,22,21,22,16,4,2,20,7,9,11,4,8,5,3,25,11,20,15,1,24,26,8,14,3,21
1,1610612738,Boston Celtics,22,17,5,0.773,48.5,42.1,88.6,0.475,15.7,43.0,0.366,17.5,21.8,0.804,10.4,36.4,46.8,24.8,13.9,6.7,6.0,3.9,17.6,18.5,117.4,8.4,23,1,1,1,5,13,20,13,2,1,16,17,19,7,20,1,4,26,16,25,8,2,2,28,7,2
2,1610612751,Brooklyn Nets,23,13,10,0.565,48.2,43.2,91.4,0.473,14.8,38.0,0.389,15.7,20.2,0.778,12.2,35.3,47.5,25.8,13.0,6.2,5.6,4.4,18.3,18.5,116.9,3.0,12,12,12,14,16,7,3,16,4,8,3,27,28,17,6,5,1,17,5,29,12,6,5,29,8,12
3,1610612766,Charlotte Hornets,22,7,15,0.318,48.2,42.5,89.2,0.477,11.7,31.2,0.375,16.2,20.5,0.793,11.2,31.0,42.2,26.1,14.3,7.0,4.8,4.6,20.2,18.9,113.0,-7.8,23,25,23,25,14,10,16,11,23,26,10,26,27,11,12,25,24,12,20,20,19,9,18,24,19,26
4,1610612741,Chicago Bulls,25,9,16,0.36,48.8,40.3,90.5,0.446,12.1,33.2,0.363,16.4,20.9,0.785,12.2,30.7,42.8,23.3,12.1,8.1,4.7,5.0,20.0,19.4,109.1,-4.2,1,22,24,23,1,26,8,28,18,17,17,24,24,14,7,27,22,29,2,8,21,13,15,18,27,23
5,1610612739,Cleveland Cavaliers,24,13,11,0.542,48.2,41.4,87.4,0.473,11.5,33.1,0.346,16.4,21.2,0.774,10.6,33.8,44.4,25.0,14.5,8.0,4.8,5.3,19.2,19.2,110.6,-0.1,5,12,17,18,21,17,24,15,25,18,24,23,22,20,18,8,12,24,21,9,18,20,10,21,24,19
6,1610612742,Dallas Mavericks,23,15,8,0.652,48.0,43.1,91.0,0.473,16.3,42.9,0.379,17.8,23.7,0.75,10.4,31.9,42.3,25.9,11.9,6.4,4.8,4.1,18.2,21.8,120.2,3.3,12,7,7,7,22,8,5,14,1,2,7,14,12,26,19,22,23,16,1,27,20,3,4,3,6,10
7,1610612743,Denver Nuggets,25,16,9,0.64,48.0,44.0,89.8,0.489,11.6,31.4,0.37,14.7,20.6,0.713,11.4,33.0,44.4,29.6,12.6,6.9,5.2,5.0,19.2,19.1,114.2,3.4,1,4,8,8,22,3,13,4,24,25,13,30,26,30,11,14,13,2,3,24,15,13,9,23,14,9
8,1610612765,Detroit Pistons,24,2,22,0.083,48.0,40.9,88.3,0.463,10.2,30.1,0.338,16.8,21.2,0.794,11.5,32.5,44.0,26.0,16.7,6.3,5.3,6.1,22.7,17.8,108.8,-10.5,5,30,30,30,22,20,21,22,29,28,29,20,22,10,10,20,17,15,29,28,14,27,30,30,28,28
9,1610612744,Golden State Warriors,23,10,13,0.435,48.4,40.6,89.9,0.452,14.7,40.2,0.367,19.6,25.0,0.784,13.2,34.3,47.4,27.7,15.8,7.0,3.3,4.3,22.2,20.7,115.6,0.3,12,20,20,20,8,23,12,26,5,4,15,8,7,15,4,7,2,6,27,23,28,5,28,9,11,18
10,1610612745,Houston Rockets,21,12,9,0.571,48.2,40.1,87.0,0.461,12.5,34.7,0.36,17.0,22.5,0.756,10.0,35.9,45.9,25.6,13.4,6.1,4.2,5.0,22.0,19.7,109.8,4.2,30,19,8,13,13,28,25,23,15,14,19,19,16,25,23,3,6,18,11,30,26,15,27,16,26,7
11,1610612754,Indiana Pacers,22,13,9,0.591,48.0,48.1,94.8,0.507,14.5,38.4,0.379,17.7,22.4,0.789,9.9,30.5,40.4,30.3,13.0,7.9,6.2,6.0,22.6,19.2,128.4,2.9,23,12,8,10,22,1,1,1,6,6,6,15,17,12,24,29,29,1,6,11,4,25,29,19,1,13
12,1610612746,LA Clippers,23,13,10,0.565,48.2,41.8,88.0,0.476,12.0,32.2,0.371,18.5,23.6,0.786,10.7,33.6,44.3,24.9,13.3,8.7,5.1,4.8,20.2,20.5,114.1,4.8,12,12,12,14,16,15,23,12,21,22,12,12,13,13,17,9,14,25,9,3,16,10,20,10,15,6
13,1610612747,Los Angeles Lakers,25,15,10,0.6,48.4,42.2,86.3,0.488,10.5,29.9,0.352,19.1,25.1,0.762,8.8,35.9,44.6,26.8,14.7,7.8,5.6,4.4,17.4,21.0,114.0,1.1,1,7,12,9,12,12,27,5,28,29,21,10,6,24,28,4,10,8,22,13,11,7,1,5,17,16
14,1610612763,Memphis Grizzlies,23,6,17,0.261,48.2,39.2,89.8,0.436,12.9,38.5,0.334,15.2,19.7,0.774,10.3,31.4,41.7,24.0,14.3,7.8,6.3,6.7,21.4,19.1,106.4,-6.3,12,26,27,27,16,29,14,29,11,5,30,28,29,19,21,24,25,27,19,12,3,30,25,22,30,24
15,1610612748,Miami Heat,24,14,10,0.583,48.0,40.4,85.7,0.471,12.8,32.9,0.39,19.1,22.7,0.84,9.5,31.6,41.0,26.5,13.4,7.9,3.3,5.1,18.6,20.0,112.7,1.3,5,10,12,12,22,25,28,18,13,19,2,11,15,3,26,23,26,10,10,10,29,17,6,13,22,15
16,1610612749,Milwaukee Bucks,24,17,7,0.708,48.4,44.4,88.8,0.5,14.1,37.0,0.381,20.4,26.5,0.769,9.4,34.4,43.8,25.5,13.7,7.2,5.7,4.3,20.0,21.0,123.3,3.9,5,1,3,3,10,2,19,2,8,11,5,5,4,21,27,6,18,19,14,18,10,4,15,6,2,8
17,1610612750,Minnesota Timberwolves,22,17,5,0.773,48.2,40.9,85.4,0.479,11.7,32.0,0.367,19.3,24.3,0.794,9.8,36.1,46.0,25.4,14.9,7.1,6.4,4.9,19.5,20.8,112.7,6.8,23,1,1,1,14,22,29,8,22,24,14,9,10,9,25,2,5,21,23,19,2,11,12,7,21,4
18,1610612740,New Orleans Pelicans,25,14,11,0.56,48.0,42.0,88.1,0.477,11.0,30.7,0.357,19.9,26.0,0.763,11.0,33.2,44.2,26.2,13.6,8.4,4.4,5.1,20.1,20.7,114.9,0.7,1,10,17,17,22,14,22,10,27,27,20,7,5,23,13,12,15,11,12,7,25,16,17,8,13,17
19,1610612752,New York Knicks,23,13,10,0.565,48.0,40.9,89.6,0.456,13.4,35.5,0.377,18.0,24.3,0.739,13.4,32.4,45.8,23.9,13.2,7.7,3.0,5.2,17.8,21.2,113.1,3.1,12,12,12,14,22,21,15,24,9,12,9,13,9,28,2,21,7,28,7,16,30,19,3,4,18,11
20,1610612760,Oklahoma City Thunder,22,15,7,0.682,48.5,43.7,89.0,0.492,12.9,32.9,0.391,20.0,23.5,0.853,8.2,32.8,41.0,25.4,13.0,8.7,6.1,5.4,20.2,20.2,120.4,7.5,23,7,3,6,5,5,18,3,12,20,1,6,14,1,30,18,27,21,4,4,5,22,18,12,5,3
21,1610612753,Orlando Magic,23,16,7,0.696,48.0,41.3,86.4,0.478,10.0,29.3,0.343,21.3,27.7,0.768,10.9,32.6,43.5,25.3,15.2,8.6,5.6,4.9,21.8,23.3,114.0,5.1,12,4,3,4,22,18,26,9,30,30,26,3,2,22,14,19,20,23,25,6,12,12,26,1,16,5
22,1610612755,Philadelphia 76ers,23,16,7,0.696,48.2,43.0,89.2,0.482,12.2,32.4,0.377,24.1,28.4,0.848,12.0,33.5,45.6,26.1,13.3,8.6,6.0,5.8,20.5,20.3,122.3,9.2,12,4,3,4,16,9,17,7,16,21,8,1,1,2,9,10,9,13,8,5,6,24,22,11,4,1
