,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,1610612737,Atlanta Hawks,82,36,46,0.439,48.4,43.0,92.5,0.465,13.7,37.7,0.364,18.5,23.2,0.797,12.5,32.2,44.7,26.6,13.5,7.5,4.5,5.6,18.6,19.4,118.3,-2.2,1,10,10,10,2,4,2,10,3,3,7,2,4,4,2,9,3,6,9,8,13,11,8,2,4,10
1,1610612738,Boston Celtics,82,64,18,0.78,48.4,43.9,90.2,0.487,16.5,42.5,0.388,16.3,20.2,0.807,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,120.6,11.3,1,1,1,1,3,2,4,3,1,1,1,10,14,3,7,1,1,5,1,13,1,1,1,15,2,1
2,1610612751,Brooklyn Nets,82,32,50,0.39,48.3,40.7,89.1,0.456,13.3,36.7,0.362,15.8,20.9,0.756,11.4,32.6,44.1,25.6,13.1,6.8,5.2,5.0,18.5,18.2,110.4,-2.9,1,11,11,11,4,12,8,15,5,5,9,12,10,14,3,7,5,9,7,14,4,7,7,10,12,11
3,1610612766,Charlotte Hornets,82,21,61,0.256,48.1,40.0,87.0,0.46,12.1,34.0,0.355,14.5,18.4,0.786,9.3,31.0,40.3,24.8,13.8,6.9,4.5,4.8,18.0,17.5,106.6,-10.2,1,13,13,13,12,14,13,14,11,9,11,15,15,6,14,15,15,13,11,11,12,5,5,14,15,15
4,1610612741,Chicago Bulls,82,39,43,0.476,48.7,42.0,89.5,0.47,11.5,32.1,0.358,16.7,21.1,0.791,11.2,32.6,43.8,25.0,12.2,7.8,4.8,4.9,18.8,18.8,112.3,-1.4,1,9,9,9,1,7,6,8,13,13,10,8,9,5,4,6,6,11,3,3,8,6,9,6,10,9
5,1610612739,Cleveland Cavaliers,82,48,34,0.585,48.3,41.8,87.2,0.479,13.5,36.8,0.367,15.6,20.4,0.765,9.9,33.4,43.3,28.0,13.6,7.4,4.6,5.0,17.5,18.7,112.6,2.4,1,4,4,4,4,8,12,4,4,4,6,13,12,11,11,3,8,3,10,10,11,8,3,7,8,6
6,1610612765,Detroit Pistons,82,14,68,0.171,48.2,40.9,88.2,0.463,11.0,31.7,0.348,17.0,21.7,0.785,10.5,32.8,43.3,25.5,15.2,6.5,4.7,6.0,20.6,17.8,109.9,-9.1,1,15,15,15,10,11,11,13,14,14,14,6,7,7,8,5,7,10,15,15,10,13,14,13,14,13
7,1610612754,Indiana Pacers,82,47,35,0.573,48.1,47.0,92.7,0.507,13.2,35.3,0.374,16.1,20.5,0.782,10.1,31.4,41.5,30.8,12.9,7.7,5.9,5.4,21.4,18.3,123.3,3.0,1,5,5,5,15,1,1,1,7,8,2,11,11,8,10,14,13,1,5,5,3,10,15,9,1,3
8,1610612748,Miami Heat,82,46,36,0.561,48.2,39.8,85.6,0.465,12.5,33.7,0.37,18.0,22.0,0.818,9.3,33.0,42.3,25.8,12.7,7.5,3.4,4.7,17.3,18.9,110.1,1.8,1,8,8,8,10,15,14,11,8,10,4,5,5,2,13,4,12,8,4,7,15,4,2,5,13,8
9,1610612749,Milwaukee Bucks,82,49,33,0.598,48.3,43.1,88.5,0.487,14.2,38.1,0.373,18.5,23.9,0.774,9.4,34.8,44.2,26.5,12.9,6.8,5.0,4.2,19.2,19.2,119.0,2.6,1,3,3,3,4,3,10,2,2,2,3,4,2,10,12,2,4,7,5,12,7,2,10,3,3,5
