,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,1610612742,Dallas Mavericks,23,15,8,0.652,48.0,43.1,91.0,0.473,16.3,42.9,0.379,17.8,23.7,0.75,10.4,31.9,42.3,25.9,11.9,6.4,4.8,4.1,18.2,21.8,120.2,3.3,6,3,3,3,13,3,2,7,1,1,3,8,7,13,9,13,12,9,1,14,10,2,2,2,2,6
1,1610612743,Denver Nuggets,25,16,9,0.64,48.0,44.0,89.8,0.489,11.6,31.4,0.37,14.7,20.6,0.713,11.4,33.0,44.4,29.6,12.6,6.9,5.2,5.0,19.2,19.1,114.2,3.4,1,2,4,4,13,1,7,2,13,13,5,15,13,15,4,9,6,1,2,12,8,8,3,14,7,5
2,1610612744,Golden State Warriors,23,10,13,0.435,48.4,40.6,89.9,0.452,14.7,40.2,0.367,19.6,25.0,0.784,13.2,34.3,47.4,27.7,15.8,7.0,3.3,4.3,22.2,20.7,115.6,0.3,6,11,11,11,6,10,6,12,3,3,7,4,4,7,2,4,1,4,13,11,15,3,15,6,4,10
3,1610612745,Houston Rockets,21,12,9,0.571,48.2,40.1,87.0,0.461,12.5,34.7,0.36,17.0,22.5,0.756,10.0,35.9,45.9,25.6,13.4,6.1,4.2,5.0,22.0,19.7,109.8,4.2,15,10,4,7,9,13,12,10,8,8,9,11,10,12,12,2,4,10,5,15,13,9,14,10,13,4
4,1610612746,LA Clippers,23,13,10,0.565,48.2,41.8,88.0,0.476,12.0,32.2,0.371,18.5,23.6,0.786,10.7,33.6,44.3,24.9,13.3,8.7,5.1,4.8,20.2,20.5,114.1,4.8,6,7,7,8,11,6,11,6,11,10,4,7,8,6,8,5,7,13,4,2,9,6,9,7,8,3
5,1610612747,Los Angeles Lakers,25,15,10,0.6,48.4,42.2,86.3,0.488,10.5,29.9,0.352,19.1,25.1,0.762,8.8,35.9,44.6,26.8,14.7,7.8,5.6,4.4,17.4,21.0,114.0,1.1,1,3,7,5,8,4,13,3,15,15,11,6,3,11,14,3,5,5,9,6,7,4,1,3,9,8
6,1610612763,Memphis Grizzlies,23,6,17,0.261,48.2,39.2,89.8,0.436,12.9,38.5,0.334,15.2,19.7,0.774,10.3,31.4,41.7,24.0,14.3,7.8,6.3,6.7,21.4,19.1,106.4,-6.3,6,13,14,14,11,14,8,14,5,4,15,13,14,9,10,14,13,14,8,5,3,15,13,13,15,12
7,1610612750,Minnesota Timberwolves,22,17,5,0.773,48.2,40.9,85.4,0.479,11.7,32.0,0.367,19.3,24.3,0.794,9.8,36.1,46.0,25.4,14.9,7.1,6.4,4.9,19.5,20.8,112.7,6.8,11,1,1,1,10,9,14,4,12,12,6,5,5,5,13,1,3,11,10,8,2,7,5,4,10,2
8,1610612740,New Orleans Pelicans,25,14,11,0.56,48.0,42.0,88.1,0.477,11.0,30.7,0.357,19.9,26.0,0.763,11.0,33.2,44.2,26.2,13.6,8.4,4.4,5.1,20.1,20.7,114.9,0.7,1,6,9,9,13,5,10,5,14,14,10,3,2,10,5,7,8,7,6,4,12,10,7,5,6,9
9,1610612760,Oklahoma City Thunder,22,15,7,0.682,48.5,43.7,89.0,0.492,12.9,32.9,0.391,20.0,23.5,0.853,8.2,32.8,41.0,25.4,13.0,8.7,6.1,5.4,20.2,20.2,120.4,7.5,11,3,2,2,4,2,9,1,6,9,1,2,9,1,15,12,14,11,3,3,4,12,8,8,1,1
10,1610612756,Phoenix Suns,24,13,11,0.542,48.6,40.2,85.2,0.472,12.2,32.0,0.382,22.5,27.0,0.835,10.7,33.3,44.0,26.1,15.0,7.0,6.8,5.1,19.4,22.2,115.1,1.9,4,7,9,10,2,12,15,8,9,11,2,1,1,2,7,6,9,8,11,9,1,11,4,1,5,7
11,1610612757,Portland Trail Blazers,22,6,16,0.273,48.7,39.0,90.0,0.433,12.0,34.7,0.346,16.6,20.7,0.8,12.1,28.6,40.7,22.0,15.8,8.8,4.5,6.6,21.0,19.2,106.5,-6.8,11,13,12,13,1,15,5,15,10,7,13,12,12,4,3,15,15,15,12,1,11,14,12,12,14,13
12,1610612758,Sacramento Kings,22,13,9,0.591,48.5,41.8,90.1,0.464,15.0,41.5,0.361,17.7,23.8,0.742,10.8,32.9,43.7,27.7,13.6,7.3,3.9,4.5,20.9,19.8,116.3,-0.6,11,7,4,6,4,7,4,9,2,2,8,9,6,14,6,11,10,3,7,7,14,5,11,9,3,11
13,1610612759,San Antonio Spurs,23,3,20,0.13,48.4,41.2,91.2,0.452,12.7,37.2,0.34,14.7,18.9,0.781,10.2,33.0,43.2,28.7,16.3,7.0,6.0,3.7,19.7,18.7,109.8,-11.6,6,15,15,15,6,8,1,11,7,6,14,14,15,8,11,8,11,2,14,9,5,1,6,15,12,15
14,1610612762,Utah Jazz,24,8,16,0.333,48.6,40.5,90.8,0.446,13.3,38.0,0.35,17.2,21.3,0.807,13.9,32.9,46.8,26.7,17.6,6.6,5.8,6.5,20.3,19.6,111.6,-8.4,4,12,12,12,2,11,3,13,4,5,12,10,11,3,1,10,2,6,15,13,6,13,10,11,11,14
